state	constituency	candidate_name	sex	age	category	partyname	partysymbol	general	postal	total	pct_of_total_votes	pct_of_polled_votes	totalvoters
Andhra Pradesh	Karimnagar 	VINOD KUMAR BOINAPALLY	M	54	GEN	TRS	Car	503197	2161	505358	32.58671275	44.83252056	1550810
Andhra Pradesh	Karimnagar 	DR.DHARMAIAH VENDAVETLA	M	61	SC	BMUP	Cot	3771	1	3772	0.243227733	0.334630633	1550810
Andhra Pradesh	Karimnagar 	L. PRABHAKAR REDDY	M	48	GEN	PPOI	Television	3942	1	3943	0.254254228	0.349800792	1550810
Andhra Pradesh	Karimnagar 	MEESALA RAJI REDDY	M	44	GEN	YSRCP	Ceiling Fan	3071	4	3075	0.198283478	0.272796712	1550810
Andhra Pradesh	Karimnagar 	RANAVENI LAKSHMAN	M	41	GEN	NIP	Cup & Saucer	2061	1	2062	0.132962774	0.182929047	1550810
Andhra Pradesh	Karimnagar 	REDDI MALLA SRINIVAS	M	46	SC	RPI(A)	Sewing Machine	8033	1	8034	0.518051857	0.712731312	1550810
Andhra Pradesh	Karimnagar 	SHAIK MAHMOOD	M	58	GEN	WPOI	Auto- Rickshaw	39300	8	39308	2.534675428	3.487184765	1550810
Andhra Pradesh	Karimnagar 	UPPULETI.LAXMAN	M	49	SC	IND	Bat	2445	0	2445	0.157659546	0.216906654	1550810
Andhra Pradesh	Karimnagar 	KANDEM PRABHAKAR	M	45	GEN	IND	Gas Stove	4727	1	4728	0.304872937	0.419441578	1550810
Andhra Pradesh	Karimnagar 	PULIKOTA RAMESH	M	34	SC	IND	Battery Torch	1772	1	1773	0.114327352	0.157290592	1550810
Andhra Pradesh	Karimnagar 	MALLESH YADAV BARLA	M	26	GEN	IND	Coconut	2757	0	2757	0.177778064	0.24458554	1550810
Andhra Pradesh	Karimnagar 	MOHAMMED AMJAD MOHIUDDIN	M	45	GEN	IND	Kite	6713	0	6713	0.432870564	0.595539619	1550810
Andhra Pradesh	Karimnagar 	SRINIVAS REDDY LINGAMPALLY	M	41	GEN	IND	Carrom Board	3851	0	3851	0.248321845	0.341639069	1550810
Andhra Pradesh	Karimnagar 	None of the Above				NOTA	NOTA	5722	12	5734	0.369742264	0.508688243	1550810
Andhra Pradesh	Nizamabad	ENDALA LAKSHMINARAYANA	M	51	GEN	BJP	Lotus	222876	2457	225333	15.06042335	21.79214901	1496193
Andhra Pradesh	Nizamabad	KALVAKUNTLA KAVITHA	F	36	GEN	TRS	Car	435706	3601	439307	29.36165321	42.48575933	1496193
Andhra Pradesh	Nizamabad	TALARI RAMULU	M	46	SC	BSP	Elephant	7398	23	7421	0.495992161	0.717691318	1496193
Andhra Pradesh	Nizamabad	MADHU YASKHI GOUD	M	56	GEN	INC	Hand	270948	1175	272123	18.1876937	26.31725032	1496193
Andhra Pradesh	Nizamabad	ABDUL GANI	M	39	GEN	BCUF	Chappals	4791	0	4791	0.3202127	0.463341747	1496193
Andhra Pradesh	Nizamabad	BANJA VEERAPPA	M	53	GEN	PPOI	Television	3649	2	3651	0.244019321	0.353091363	1496193
Andhra Pradesh	Nizamabad	MALIK MOHTASIM KHAN	M	47	GEN	WPOI	Auto- Rickshaw	43738	76	43814	2.928365525	4.237289775	1496193
Andhra Pradesh	Nizamabad	RAPELLY SRINIVAS	M	39	GEN	AAAP	Broom	2613	8	2621	0.175177935	0.253479173	1496193
Andhra Pradesh	Nizamabad	SAGAR SUDDALA	M	32	SC	BMUP	Cot	1952	26	1978	0.132202196	0.191294088	1496193
Andhra Pradesh	Nizamabad	SINGAREDDY RAVINDRA REDDY	M	46	GEN	YSRCP	Ceiling Fan	3508	21	3529	0.235865293	0.341292637	1496193
Andhra Pradesh	Nizamabad	ABDUL KAREEM KHAN (BABU)	M	44	GEN	IND	Bat	1599	2	1601	0.107004912	0.154834093	1496193
Andhra Pradesh	Nizamabad	KANDEM PRABHAKAR	M	45	GEN	IND	Gas Stove	3988	2	3990	0.266676826	0.385876345	1496193
Andhra Pradesh	Nizamabad	KOTAPATI NARSIMHAM NAIDU	M	56	GEN	IND	Gas Cylinder	2458	4	2462	0.164550964	0.238102146	1496193
Andhra Pradesh	Nizamabad	S. CHANDRAIAH	M	66	GEN	IND	Cup & Saucer	2817	0	2817	0.188277849	0.272434503	1496193
Andhra Pradesh	Nizamabad	CHIRULINGADRULA VENKATESHAM	M	40	GEN	IND	Coconut	3091	0	3091	0.206590995	0.298933279	1496193
Andhra Pradesh	Nizamabad	BAGWAN B	M	49	ST	IND	Almirah	8129	0	8129	0.54331226	0.78616261	1496193
Andhra Pradesh	Nizamabad	None of the Above				NOTA	NOTA	7244	22	7266	0.485632535	0.702701134	1496193
Andhra Pradesh	Zahirabad	B.B. PATIL	M	58	GEN	TRS	Car	505983	2678	508661	35.19283165	46.25237895	1445354
Andhra Pradesh	Zahirabad	K.MADAN MOHAN RAO	M	44	GEN	TDP	Bicycle	156807	690	157497	10.89677684	14.32115088	1445354
Andhra Pradesh	Zahirabad	SYED FEROZUDDIN	M	46	GEN	BSP	Elephant	8165	15	8180	0.565951317	0.743804734	1445354
Andhra Pradesh	Zahirabad	SURESH KUMAR SHETKAR	M	53	GEN	INC	Hand	362939	1091	364030	25.18621736	33.10112926	1445354
Andhra Pradesh	Zahirabad	MARRI DURGESH	M	30	SC	RPI(A)	Sewing Machine	18027	0	18027	1.247237701	1.639189235	1445354
Andhra Pradesh	Zahirabad	MAHMOOD MOHIUDDIN	M	44	GEN	YSRCP	Ceiling Fan	12369	14	12383	0.85674513	1.125982154	1445354
Andhra Pradesh	Zahirabad	DR. SUNEEL KUMAR CHOWDHARY	M	53	GEN	AAAP	Broom	3270	15	3285	0.22727996	0.298703979	1445354
Andhra Pradesh	Zahirabad	TANDALE AMBAJI RAO	M	45	GEN	IND	Slate	2321	2	2323	0.160721872	0.211229633	1445354
Andhra Pradesh	Zahirabad	BENJAMIN RAJU	M	43	GEN	IND	Grapes	4802	2	4804	0.332375321	0.436826154	1445354
Andhra Pradesh	Zahirabad	RAMA RAO	M	45	GEN	IND	Balloon	4426	0	4426	0.306222559	0.402454737	1445354
Andhra Pradesh	Zahirabad	None of the Above				NOTA	NOTA	11157	33	11190	0.774204797	1.017503053	1445354
Andhra Pradesh	Medak	KALVAKUNTLA CHANDRASEKHAR RAO	M	60	GEN	TRS	Car	655484	2008	657492	42.80084314	55.08760082	1536166
Andhra Pradesh	Medak	CHAGANLA NARENDRA NATH	M	49	GEN	BJP	Lotus	181177	627	181804	11.83491888	15.23234683	1536166
Andhra Pradesh	Medak	Y. SHANKAR GOUD	M	50	GEN	BSP	Elephant	6633	10	6643	0.432440244	0.556580053	1536166
Andhra Pradesh	Medak	DR.P. SHRAVAN KUMAR REDDY	M	39	GEN	INC	Hand	260202	261	260463	16.95539414	21.82274731	1536166
Andhra Pradesh	Medak	IQBAL ALI ZAFAR	M	59	GEN	MBT	Balloon	5010	0	5010	0.326136628	0.419760058	1536166
Andhra Pradesh	Medak	KOMPELLI PRABHUDAS	M	48	SC	RPI(A)	Sewing Machine	7599	0	7599	0.494673102	0.63667798	1536166
Andhra Pradesh	Medak	PRABHUGOUD, PULLAIAHGARI	M	45	GEN	YSRCP	Ceiling Fan	11744	8	11752	0.765021489	0.984634771	1536166
Andhra Pradesh	Medak	BOMMA BALESHAM	M	62	GEN	PPOI	Television	3296	1	3297	0.214625242	0.276237308	1536166
Andhra Pradesh	Medak	KUNDETI. RAVI.	M	40	GEN	IND	Camera	33507	0	33507	2.181209583	2.807365323	1536166
Andhra Pradesh	Medak	GAJABINKAR BANSILAL	M	49	GEN	IND	Basket containing Fruits	3281	0	3281	0.213583688	0.274896757	1536166
Andhra Pradesh	Medak	GURJADA BHEERAIAH YADAV	M	47	GEN	IND	Coconut	2050	3	2053	0.133644411	0.172009461	1536166
Andhra Pradesh	Medak	BALARAJU MITTAPALLY	M	43	GEN	IND	Carrom Board	2973	0	2973	0.193533772	0.249091148	1536166
Andhra Pradesh	Medak	MEKA. SUBBA RAO	M	37	SC	IND	Cup & Saucer	4441	0	4441	0.289096361	0.37208671	1536166
Andhra Pradesh	Medak	None of the Above				NOTA	NOTA	10687	9	10696	0.696278918	0.8961584	1536166
Andhra Pradesh	Malkajgiri	KARUNAKAR.R	M	48	GEN	BSP	Elephant	6111	22	6133	0.192674838	0.377454175	3183083
Andhra Pradesh	Malkajgiri	CH.MALLA REDDY	M	56	GEN	TDP	Bicycle	522423	933	523356	16.44179558	32.20983326	3183083
Andhra Pradesh	Malkajgiri	SARVEY SATHYANARAYANA	M	60	GEN	INC	Hand	232989	541	233530	7.336597883	14.37255398	3183083
Andhra Pradesh	Malkajgiri	HANUMANTH RAO MYNAMPALLY	M	47	GEN	TRS	Car	493433	1757	495190	15.55693018	30.4763628	3183083
Andhra Pradesh	Malkajgiri	DR.JAYAPRAKASH  NARAYAN .N	M	58	GEN	LSP	Whistle	157530	718	158248	4.971532316	9.739339366	3183083
Andhra Pradesh	Malkajgiri	JAJULA BHASKAR	M	39	GEN	SHP	Auto- Rickshaw	7951	2	7953	0.249852109	0.489465687	3183083
Andhra Pradesh	Malkajgiri	V.DINESH REDDY	M	60	GEN	YSRCP	Ceiling Fan	114941	280	115221	3.619792509	7.091251839	3183083
Andhra Pradesh	Malkajgiri	DIVAKAR DHARANIKOTA SUDHAKAR	M	28	GEN	AIMIM	Almirah	18535	9	18544	0.582579845	1.14128652	3183083
Andhra Pradesh	Malkajgiri	PADURI SRINIVAS REDDY	M	39	GEN	TLP	Gas Cylinder	793	9	802	0.025195699	0.049358919	3183083
Andhra Pradesh	Malkajgiri	BANDI SUDHAKAR	M	39	GEN	JaSPa	Chappals	4088	7	4095	0.12864886	0.252025901	3183083
Andhra Pradesh	Malkajgiri	MURARI.T.N	M	60	GEN	SHS	Bow & Arrow	1388	2	1390	0.043668355	0.085547253	3183083
Andhra Pradesh	Malkajgiri	SATHYANARAYANA YAADAV PEDDIBOYINA	M	40	GEN	BCBDP	Candles	593	3	596	0.018723986	0.036680693	3183083
Andhra Pradesh	Malkajgiri	SUTHARAPU PADMAIAH	M	60	GEN	APRSSP	Batsman	527	2	529	0.016619108	0.032557192	3183083
Andhra Pradesh	Malkajgiri	DR.N.V.SUDHA KIRAN	M	48	GEN	AAAP	Broom	8264	37	8301	0.260784906	0.510883272	3183083
Andhra Pradesh	Malkajgiri	SURAKANTI VENKAT REDDY	M	50	GEN	PPOI	Television	2048	1	2049	0.064371554	0.126105267	3183083
Andhra Pradesh	Malkajgiri	ANJANEYULU.E	M	28	GEN	IND	Bat	2675	2	2677	0.084100854	0.164755393	3183083
Andhra Pradesh	Malkajgiri	KANTE SAYANNA	M	35	GEN	IND	Stethoscope	2260	1	2261	0.071031764	0.139152762	3183083
Andhra Pradesh	Malkajgiri	KOYALKAR BHOJ RAJ	M	56	GEN	IND	Basket containing Fruits	1547	0	1547	0.048600681	0.095209785	3183083
Andhra Pradesh	Malkajgiri	GAJABINKAR BANSILAL	M	47	GEN	IND	Air Conditioner	1416	0	1416	0.044485174	0.087147418	3183083
Andhra Pradesh	Malkajgiri	DASARI BHARATH REDDY	M	28	GEN	IND	Cup & Saucer	1693	0	1693	0.053187429	0.104195323	3183083
Andhra Pradesh	Malkajgiri	PROF. K.NAGESHWAR	M	50	GEN	IND	Telephone	13037	202	13239	0.415917524	0.814791428	3183083
Andhra Pradesh	Malkajgiri	M.NAGESWARA RAO	M	60	GEN	IND	Letter Box	1264	37	1301	0.040872324	0.080069767	3183083
Andhra Pradesh	Malkajgiri	PEESARI SATISH REDDY	M	32	GEN	IND	Harmonium	1325	0	1325	0.04162631	0.081546842	3183083
Andhra Pradesh	Malkajgiri	POTTURI TULASI DAS	M	62	GEN	IND	Walking Stick	411	0	411	0.01291201	0.025294907	3183083
Andhra Pradesh	Malkajgiri	POLISETTY KRISHNA RAO	M	28	GEN	IND	Bottle	495	1	496	0.015582377	0.030526214	3183083
Andhra Pradesh	Malkajgiri	D.BIKSHAPATHI	M	40	GEN	IND	Camera	5715	2	5717	0.179605747	0.351851544	3183083
Andhra Pradesh	Malkajgiri	RAHUL PANDIT	M	48	GEN	IND	Battery Torch	897	2	899	0.028243059	0.055328763	3183083
Andhra Pradesh	Malkajgiri	VATTIKUTI RAMARAO GOUD	M	28	GEN	IND	Pen Nib with Seven Rays	1031	1	1032	0.032421398	0.06351422	3183083
Andhra Pradesh	Malkajgiri	M.T.VARUGHESE	M	50	GEN	IND	Gas Stove	1025	1	1026	0.032232901	0.063144951	3183083
Andhra Pradesh	Malkajgiri	B.VEERA HANUMANTHA REDDY	M	48	GEN	IND	Slate	775	0	775	0.024347464	0.047697209	3183083
Andhra Pradesh	Malkajgiri	None of the Above				NOTA	NOTA	8666	26	8692	0.273068594	0.534947284	3183083
Andhra Pradesh	Secundrabad	M.ANJAN KUMAR YADAV	M	53	GEN	INC	Hand	183427	109	183536	9.691716027	18.2666871	1893741
Andhra Pradesh	Secundrabad	KHAJA KHALID ANWAR	M	47	GEN	BSP	Elephant	2856	7	2863	0.151182237	0.284944235	1893741
Andhra Pradesh	Secundrabad	BANDARU DATTATREYA	M	66	GEN	BJP	Lotus	437860	411	438271	23.14313309	43.61955814	1893741
Andhra Pradesh	Secundrabad	T.BHEEMSEN	M	65	GEN	TRS	Car	143696	151	143847	7.595917288	14.3165817	1893741
Andhra Pradesh	Secundrabad	ABDUS SATTAR MUJAHED	M	48	GEN	ABML(S)	Balloon	807	2	809	0.042719675	0.080516901	1893741
Andhra Pradesh	Secundrabad	DR.N.S.UDAY KUMAR	M	53	GEN	pjdl	Television	927	1	928	0.049003533	0.092360549	1893741
Andhra Pradesh	Secundrabad	KARANKOTE NARENDER	M	52	GEN	AIFB	Lion	474	0	474	0.025029822	0.047175539	1893741
Andhra Pradesh	Secundrabad	KUMAR CHOWDARY YADAV.G	M	55	GEN	sps	Bat	547	0	547	0.028884626	0.05444097	1893741
Andhra Pradesh	Secundrabad	KHAJA SIRAJUDDIN AZAZ	M	49	GEN	mmsp	Iron	957	2	959	0.050640505	0.095445869	1893741
Andhra Pradesh	Secundrabad	CHAYA RATAN MUSINIPALLY	F	61	SC	AAAP	Broom	11162	22	11184	0.590577064	1.113103852	1893741
Andhra Pradesh	Secundrabad	B.DEEPAK KUMAR	M	39	SC	RPI(KH)	Candles	1813	0	1813	0.095736429	0.18044146	1893741
Andhra Pradesh	Secundrabad	NARLA MOHAN RAO	M	47	GEN	AIMIM	Kite	145095	25	145120	7.663138729	14.44327888	1893741
Andhra Pradesh	Secundrabad	DR.MALATHI LATHA EPPA	F	29	GEN	JAP	Almirah	871	2	873	0.046099229	0.086886594	1893741
Andhra Pradesh	Secundrabad	CH. MURAHARI	M	55	GEN	SUCI	Glass Tumbler	552	2	554	0.029254264	0.055137655	1893741
Andhra Pradesh	Secundrabad	MOHD IMTIAZ HUSSAIN	M	35	GEN	IUML	Ladder	784	2	786	0.041505148	0.078227792	1893741
Andhra Pradesh	Secundrabad	RAGHU DESHABOINA	M	45	GEN	BMUP	Cot	1494	2	1496	0.078997075	0.148891574	1893741
Andhra Pradesh	Secundrabad	J.RAMULU	M	39	GEN	RSP	Spade & Stoker	2057	1	2058	0.108673784	0.204825441	1893741
Andhra Pradesh	Secundrabad	SHAKTHI SATYAVATHI	F	49	ST	PPOI	Battery Torch	638	0	638	0.033689929	0.063497877	1893741
Andhra Pradesh	Secundrabad	K. SRINIVASULU	M	42	GEN	JaSPa	Chappals	3688	3	3691	0.194905217	0.367352139	1893741
Andhra Pradesh	Secundrabad	SYED SAJID ALI	M	44	GEN	YSRCP	Ceiling Fan	45161	26	45187	2.386123551	4.497301838	1893741
Andhra Pradesh	Secundrabad	K.SAI KRISHNA MOHAN RAO	M	53	GEN	ICSP	Trumpet	2599	4	2603	0.137452798	0.259067358	1893741
Andhra Pradesh	Secundrabad	SONU SARSAL VALMIKI	M	29	SC	TECPI	Auto- Rickshaw	2310	1	2311	0.122033583	0.230005633	1893741
Andhra Pradesh	Secundrabad	ANANTH RAO GUNDEPALLY	M	43	GEN	IND	Pen Nib with Seven Rays	779	0	779	0.041135509	0.077531107	1893741
Andhra Pradesh	Secundrabad	AVULA RANGANAYAKULU	M	60	GEN	IND	Telephone	1143	1	1144	0.060409528	0.113858262	1893741
Andhra Pradesh	Secundrabad	MICHAEL DANIEL OVELZ	M	41	GEN	IND	Pot	291	0	291	0.01536641	0.028962198	1893741
Andhra Pradesh	Secundrabad	MOHD ABUBAKAR PARWAIZ SIDDIQUI	M	38	GEN	IND	Gas Cylinder	322	0	322	0.017003381	0.032047518	1893741
Andhra Pradesh	Secundrabad	MOHAMMED RIZWAN HUSSAIN	M	32	GEN	IND	Coconut	370	0	370	0.019538047	0.036824788	1893741
Andhra Pradesh	Secundrabad	S. LAKSHMAN RAO	M	50	GEN	IND	Envelope	885	1	886	0.046785701	0.088180437	1893741
Andhra Pradesh	Secundrabad	SYED MADANI QUADRI	M	53	GEN	IND	Bread	376	0	376	0.01985488	0.037421946	1893741
Andhra Pradesh	Secundrabad	B.SUBRAMANYAM	M	60	GEN	IND	Camera	2480	1	2481	0.131010524	0.24692513	1893741
Andhra Pradesh	Secundrabad	None of the Above				NOTA	NOTA	6567	5	6572	0.347037953	0.65408785	1893741
Andhra Pradesh	Hyderabad	S KRISHNA REDDY	M	51	GEN	INC	Hand	49301	9	49310	2.704560126	5.074256407	1823217
Andhra Pradesh	Hyderabad	DR.BHAGAVANTH RAO	M	61	GEN	BJP	Lotus	311336	78	311414	17.08046821	32.04612624	1823217
Andhra Pradesh	Hyderabad	RASHID SHAREEF	M	53	GEN	TRS	Car	37190	5	37195	2.040075317	3.827559664	1823217
Andhra Pradesh	Hyderabad	VENU GOPAL.P	M	30	SC	BSP	Elephant	3100	0	3100	0.17002913	0.319006183	1823217
Andhra Pradesh	Hyderabad	ASADUDDIN OWAISI	M	43	GEN	AIMIM	Kite	513777	91	513868	28.18468674	52.87969968	1823217
Andhra Pradesh	Hyderabad	S.KHAJA MOINUDDIN	M	45	GEN	AIACP	Batsman	1592	1	1593	0.087373033	0.163928016	1823217
Andhra Pradesh	Hyderabad	JAYA VINDHYALA	F	49	GEN	SP(I)	Battery Torch	598	0	598	0.032799168	0.061537322	1823217
Andhra Pradesh	Hyderabad	BINGHI RAJASHEKAR	M	38	GEN	PPOI	Television	21796	0	21796	1.195469327	2.242922179	1823217
Andhra Pradesh	Hyderabad	BODDU SAINATH REDDY	M	36	GEN	YSRCP	Ceiling Fan	10735	8	10743	0.589233207	1.10551078	1823217
Andhra Pradesh	Hyderabad	N.MAHENDER SINGH	M	49	GEN	NBNP	Dao	485	0	485	0.026601332	0.049909032	1823217
Andhra Pradesh	Hyderabad	LUBNA SARWATH	F	49	GEN	AAAP	Broom	6118	0	6118	0.335560715	0.629574137	1823217
Andhra Pradesh	Hyderabad	SYED MUSTAFA MAHMOOD	M	45	GEN	MBT	Bat	2101	1	2102	0.11529072	0.216306773	1823217
Andhra Pradesh	Hyderabad	MD OSMAN	M	52	GEN	IND	BELT	728	0	728	0.039929421	0.074915	1823217
Andhra Pradesh	Hyderabad	SHAIK MOIN	M	46	GEN	IND	Candles	626	0	626	0.034334915	0.064418668	1823217
Andhra Pradesh	Hyderabad	SYED ABDUL GAFFER	M	56	GEN	IND	Gas Cylinder	740	0	740	0.040587599	0.076149863	1823217
Andhra Pradesh	Hyderabad	M A HABEEB	M	37	GEN	IND	Carrom Board	5992	0	5992	0.328649854	0.616608079	1823217
Andhra Pradesh	Hyderabad	None of the Above				NOTA	NOTA	5011	2	5013	0.274953557	0.515863869	1823217
Andhra Pradesh	CHELVELLA	KONDA VISHWESHWAR REDDY	M	54	GEN	TRS	Car	431084	3993	435077	19.91049642	32.90347074	2185164
Andhra Pradesh	CHELVELLA	TULLA VEERENDER	M	31	GEN	TDP	Bicycle	352227	976	353203	16.16368382	26.7116041	2185164
Andhra Pradesh	CHELVELLA	PATLOLLA KARTIK REDDY	M	34	GEN	INC	Hand	360834	1220	362054	16.56873351	27.38097669	2185164
Andhra Pradesh	CHELVELLA	SAMALA RAVINDAR	M	46	GEN	BSP	Elephant	7713	19	7732	0.353840719	0.584746231	2185164
Andhra Pradesh	CHELVELLA	KUMMARI GIRI	M	33	GEN	PPOI	Television	5787	2	5789	0.264922907	0.437803405	2185164
Andhra Pradesh	CHELVELLA	KONDA RAGHAVA REDDY	M	54	GEN	YSRCP	Ceiling Fan	40069	66	40135	1.836704247	3.035280647	2185164
Andhra Pradesh	CHELVELLA	DR.GOLLA RAMAIAH	M	73	GEN	TLP	Gas Cylinder	1737	28	1765	0.08077197	0.133481259	2185164
Andhra Pradesh	CHELVELLA	CHAN PASHA	M	37	GEN	ABML(S)	Kite	56832	3	56835	2.600948945	4.298247803	2185164
Andhra Pradesh	CHELVELLA	MD YUNUS MIYA	M	70	GEN	MCPI	Carrom Board	2901	3	2904	0.132896204	0.219620157	2185164
Andhra Pradesh	CHELVELLA	REGATTE VENKAT REDDY	M	54	GEN	AAAP	Broom	7433	29	7462	0.341484667	0.564327001	2185164
Andhra Pradesh	CHELVELLA	SYED HASHMATHULLAH QUADRI	M	45	GEN	IUML	Ladder	1399	12	1411	0.064571812	0.106709381	2185164
Andhra Pradesh	CHELVELLA	DR. P. SADHU SATYANADHAN	M	61	GEN	ICSP	Trumpet	2487	58	2545	0.116467231	0.192470144	2185164
Andhra Pradesh	CHELVELLA	SUTHARAPU PADMAIAH	M	61	GEN	APRSSP	Batsman	2211	3	2214	0.101319626	0.167437682	2185164
Andhra Pradesh	CHELVELLA	G.MALLESHAM GOUD	M	38	GEN	IND	Auto- Rickshaw	24650	10	24660	1.128519415	1.864956292	2185164
Andhra Pradesh	CHELVELLA	SANIKE RAM GOPAL YADAV	M	47	GEN	IND	Ring	2056	2	2058	0.094180574	0.155639905	2185164
Andhra Pradesh	CHELVELLA	None of the Above				NOTA	NOTA	9989	29	10018	0.458455292	0.75762904	2185164
Andhra Pradesh	Mahbubnagar	KADIRE KRISHNA	M	37	SC	BSP	Elephant	15690	89	15779	1.112240496	1.553817384	1418668
Andhra Pradesh	Mahbubnagar	DR. JANARDHAN REDDY NAGAM	M	65	GEN	BJP	Lotus	270102	2689	272791	19.22867084	26.86275417	1418668
Andhra Pradesh	Mahbubnagar	JAIPAL REDDY SUDINI	M	72	GEN	INC	Hand	330167	1471	331638	23.37671675	32.65763925	1418668
Andhra Pradesh	Mahbubnagar	AP JITHENDER REDDY	M	60	GEN	TRS	Car	332581	1647	334228	23.55928237	32.91268628	1418668
Andhra Pradesh	Mahbubnagar	S.R.PREMAIAH	M	60	SC	PPOI	Auto- Rickshaw	30379	9	30388	2.142009265	2.992420475	1418668
Andhra Pradesh	Mahbubnagar	H.A. RAHMAN	M	44	GEN	YSRCP	Ceiling Fan	9065	40	9105	0.641799209	0.896603542	1418668
Andhra Pradesh	Mahbubnagar	IBRAHIM SYED	M	44	GEN	IND	Almirah	4487	62	4549	0.320652894	0.447957113	1418668
Andhra Pradesh	Mahbubnagar	DR. CHANDRA SEKHAR. A	M	45	GEN	IND	Stethoscope	3983	50	4033	0.284280748	0.397144655	1418668
Andhra Pradesh	Mahbubnagar	S. SHIVA SHANKAR	M	45	GEN	IND	Air Conditioner	3242	10	3252	0.229229108	0.320236652	1418668
